abash, to make ashamed, verb 
unaffected," lacking pretense or affectation, natural", adjective 
unalloyed," not in mixture with other metals, pure", adjective 
unanimity, the condition of complete agreement by all parties, noun 
unanimous, based on complete assent or agreement, adjective 
unassailable," secure against attack, impregnable", adjective 
unassuming, modest and having no pretensions or ostentation, adjective 
unavoidable," impossible to avoid, bound to happen", adjective 
unbearable, so unpleasant or painful as to be unendurable, adjective 
unbecoming," not flattering, attractive or appropriate", adjective 
unbelief, a lack (or rejection) of belief, noun 
unbridled, not controlled or restrained, adjective 
uncanny, extraordinary, adjective 
unconscionable," unscrupulous, not guided by conscience", adjective 
unconscious, not awake, adjective 
unction," anointing, as a medical treatment or religious rite", noun 
unctuous," excessively smooth, suave or smug", adjective 
undeceive," to free from misconception, deception or error", verb 
undercharge, to charge less than the correct amount, verb 
underexpose, expose (film or an image) for too short a time, verb 
underhanded, sneaky, adjective 
underlie, to lie in a position directly beneath, verb 
underling, a subordinate, noun 
underman, insufficiently furnished with men;, short-handed 
undermine, to attempt to subvert through stealth, verb 
underpinning, a system of supports beneath a wall, noun 
underrate," to underestimate, to make too low a rate or estimate", verb 
underscore," to underline, to mark a line beneath text", verb 
undersell, to sell goods for a lower price than a competitor, verb 
understate, to minimise or downplay, verb 
underwrite," to write under, especially under other written matter", verb 
undulate, to cause to move in a wavelike motion, verb 
undulating, rising and falling like waves, adjective 
undulation, a wavelike motion, noun 
undulous, undulating, adjective 
unduly, excessively, adjective 
unequivocal, having only one possible meaning or explanation, adjective 
unfavorable," disadvantageous, adverse, unsuitable", adjective 
unfeigned, sincere, adjective 
unfetter, free from restraint, verb 
unflappable, remaining composed and level-headed at all times, adjective 
unflinching," staying committed despite any difficulty, steadfast", adjective 
unfounded," having no strong foundation, not based on reasons or facts", adjective 
unfrock, to remove from status as a member of a clergy, verb 
ungainly," clumsy, lacking grace", adjective 
unguent, therapeutic skin cream with medicinal ingredients, noun 
unicellular, describing any microorganism that has a single cell, adjective 
unification, the process of unifying or uniting, noun 
uniform, identical or consistent, noun 
unify," to become one, merge, combine", verb 
unilateral, done by one side only, adjective 
unimpeachable," above suspicion, impossible to discredit", adjective 
uninhibited, not restrained by social convention or usage, adjective 
unintelligible, not capable of being understood, adjective 
unisonant," of a single sound, producing the same sound", adjective 
unitarian, a supporter of unity or centralization, noun 
univalence, (chemistry) the condition of having a valence of one, noun 
univocal, having only one meaning, adjective 
unkempt," dishevelled, untidy, dirty, not kept up", adjective 
unobtrusive," not noticeable or blatant, inconspicuous", adjective 
unpalatable, unpleasant to the taste, adjective 
unprecedented," never before seen or done, without precedent", adjective 
unravel, to separate the threads (of), verb 
unregenerate, which cannot be transformed in mind and spirit, adjective 
unremitting," incessant, never slackening", adjective 
unrequited," unanswered, not returned, not reciprocated, not repaid", adjective 
unscathed," not harmed or damaged in any way, untouched", adjective 
unscrupulous," conscienceless, unprincipled", adjective 
unsettle, to make upset or uncomfortable, verb 
unsophisticated, without complexity or refinements, adjective 
unspeakable, incapable of being spoken or uttered, adjective 
untenable," incapable of being defended, as an argument, thesis, etc", adjective 
untimely, at an inopportune time, adjective 
untoward, unfavourable or unfortunate, adjective 
unutterable," unspeakable, beyond expression", adjective 
unwieldy," not readily handled or managed in use or action, awkward", adjective 
unwitting, unintentional, adjective 
unwonted," not customary or habitual, unusual, infrequent, strange", adjective 
unyoke, to release something from a yoke or harness, verb 
up-keep, the process of properly maintaining something, noun 
upbraid, to find fault with or reproach severely, verb 
upcast," to cast or throw up, to turn upward", verb 
upheaval, strong or violent change or disturbance, noun 
upheave," to heave or lift up, raise up or aloft", verb 
uppermost," at, or nearest the top of something", adjective 
upright," vertical, erect", adjective 
uproarious," in a state of uproar, confused and noisy", adjective 
uproot, to tear away from a native place or environment, verb 
upshot," the final issue, conclusion or result", noun 
upstart," to rise suddenly, to spring", verb 
upturn, to turn (something) up or over, verb 
urban, related to the (or any) city, adjective 
urbane," courteous, polite, refined, and suave", adjective 
urbanity," behaviour that is polished, refined, courteous", noun 
urchin, a mischievous child, noun 
urgency, imperativeness, noun 
usage, a customary way of doing something, noun 
usually, most of the time, adverb 
usurious, charging illegal rates of interest for the use of money, adjective 
usurp," to seize power from another, usually by illegitimate means", verb 
usury, the practice of lending money at an exorbitant interest, noun 
utilitarian, having regard to usefulness rather than beauty, adjective 
utility," the state or condition of being useful, usefulness", noun 
utmost," of the greatest or highest degree, quantity or the like", adjective 
utopia, an ideal place or state, noun 
uxorious, overly devoted or submissive to one's wife, adjective 
vacate," to move out of a dwelling, either by choice or by eviction", verb 
